timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.4871,1.8308,3.0721
40000,0.0000,11.7242,2.2767,2.9875
60000,0.0000,11.6874,2.1730,2.9440
80000,0.0000,11.2646,1.9304,3.2412
100000,0.0000,11.4753,1.9357,2.8414
120000,0.0000,10.9335,1.8781,2.7827
140000,0.0000,10.8778,1.8766,2.5945
160000,0.0000,10.0950,1.6257,2.8003
180000,0.0000,9.3374,1.8327,2.7142
200000,0.0000,8.9096,1.4587,2.6613
220000,0.0000,9.7791,1.6385,2.5564
240000,0.0000,8.4096,1.4786,2.4695
260000,0.0000,8.4517,1.4642,2.4063
280000,0.0000,7.9929,1.4280,2.2774
300000,0.0000,7.5291,1.2982,2.2475
320000,0.0000,7.3768,1.0732,2.3493
340000,0.0000,6.7795,1.1591,2.3985
360000,0.0000,6.6860,1.1382,2.2000
380000,0.0000,6.2798,0.8290,1.9449
400000,0.0000,5.8215,0.6108,2.0048
420000,0.0000,5.2099,0.5945,1.9571
440000,0.0000,4.8518,0.5355,1.8336
460000,0.0000,4.3718,0.4246,1.8456
480000,0.0000,3.8506,0.2888,1.9598
500000,0.0000,3.5181,0.2585,1.8580
