timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.3442,2.2936,3.3270
40000,0.0000,12.1757,2.0189,3.1560
60000,0.0000,11.1194,2.1435,2.9825
80000,0.0000,11.8642,2.1776,2.9256
100000,0.0000,11.2006,1.5202,3.0442
120000,0.0000,10.5732,2.0447,2.8414
140000,0.0000,9.6319,2.0052,3.0334
160000,0.0000,9.1325,1.8361,2.7603
180000,0.0000,9.9399,1.7562,2.7541
200000,0.0000,9.0626,1.7624,2.7522
220000,0.0000,8.6526,1.3887,2.5168
240000,0.0000,7.7438,1.4941,2.4632
260000,0.0000,7.5602,1.4010,2.2601
280000,0.0000,7.0345,1.0870,2.2252
300000,0.0000,6.1478,1.1488,2.1289
320000,0.0000,6.0350,0.8579,2.0759
340000,0.0000,5.0035,0.8803,2.0845
360000,0.0000,4.5619,0.7554,1.9168
380000,0.0000,3.7637,0.5748,1.7625
400000,0.0000,3.4957,0.3897,1.6405
420000,0.5500,2.9942,0.2193,1.5451
440000,0.8000,2.8295,0.1986,1.4595
460000,0.8000,2.4559,0.1990,1.2228
480000,0.8500,2.3445,0.1881,1.2759
500000,0.6000,2.2194,0.2588,1.4766
