timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.1433,2.1739,3.2639
40000,0.0000,11.5475,1.9823,3.1402
60000,0.0000,11.8663,2.0751,2.9879
80000,0.0000,11.4235,2.3020,2.9411
100000,0.0000,11.2676,1.8752,2.8575
120000,0.0000,10.1497,2.3353,3.0220
140000,0.0000,9.7512,1.5450,2.9512
160000,0.0000,9.6976,1.8281,2.8863
180000,0.0000,9.3372,1.5244,2.8460
200000,0.0000,9.3850,1.1145,2.5737
220000,0.0000,8.3321,1.2713,2.3945
240000,0.0000,7.5753,1.1937,2.4278
260000,0.0000,6.9410,1.2708,2.4835
280000,0.0000,6.4238,0.9643,2.2976
300000,0.0000,6.5279,1.0770,2.1775
320000,0.0000,5.2474,0.9533,1.9277
340000,0.0000,4.9090,0.8175,1.8827
360000,0.0000,4.3905,0.6504,1.7777
380000,0.1000,3.5559,0.5747,1.7866
400000,0.4000,3.0971,0.3281,1.6501
420000,0.6000,2.7567,0.2682,1.5168
440000,0.8500,2.4185,0.2540,1.5570
460000,0.8500,2.3078,0.2656,1.3744
480000,0.8000,2.2114,0.3273,1.5537
500000,0.8500,1.8433,0.1942,1.3526
520000,0.9500,1.7158,0.2530,1.2521
540000,0.9000,1.4919,0.1993,1.2765
560000,0.9000,1.2162,0.3329,1.3185
580000,0.9000,1.1178,0.2705,1.2446
600000,1.0000,0.8581,0.0881,1.2867
620000,0.9000,0.7763,0.1860,1.2272
640000,1.0000,0.6172,0.0802,1.2845
660000,1.0000,0.4868,0.0728,1.3087
680000,1.0000,0.3126,0.0543,1.5085
700000,1.0000,0.3928,0.0708,1.5168
720000,1.0000,0.3839,0.0635,1.3426
740000,1.0000,0.3566,0.0605,1.4796
760000,1.0000,0.3607,0.0610,1.4054
780000,1.0000,0.2486,0.0464,1.4848
800000,1.0000,0.3294,0.0667,1.5168
820000,1.0000,0.2665,0.0612,1.4388
840000,1.0000,0.1900,0.0371,1.4866
860000,1.0000,0.2702,0.0542,1.5547
880000,1.0000,0.2874,0.0733,1.5408
900000,1.0000,0.3606,0.0734,1.5165
920000,1.0000,0.2385,0.0600,1.5601
940000,1.0000,0.3559,0.0885,1.5647
960000,1.0000,0.3400,0.0967,1.4350
980000,1.0000,0.2559,0.0560,1.4380
1000000,1.0000,0.2658,0.0840,1.6737
