timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.2669,2.0085,2.9007
40000,0.0000,11.6696,1.9729,3.0776
60000,0.0000,12.1291,2.0333,2.8741
80000,0.0000,12.1414,1.9397,2.9514
100000,0.0000,11.9951,2.0366,2.8960
120000,0.0000,10.6845,2.0624,2.8938
140000,0.0000,10.3614,1.7849,2.7339
160000,0.0000,10.6885,1.7988,2.8124
180000,0.0000,10.1236,1.7214,2.7130
200000,0.0000,10.3298,1.8659,2.5147
220000,0.0000,9.7261,1.7705,2.6183
240000,0.0000,9.2894,1.7680,2.6607
260000,0.0000,8.4884,1.5750,2.7574
280000,0.0000,8.9517,1.6250,2.5027
300000,0.0000,8.2832,1.4038,2.5243
320000,0.0000,7.9703,1.5513,2.2382
340000,0.0000,7.5263,1.4196,2.3844
360000,0.0000,7.2012,1.1899,2.4276
380000,0.0000,6.9304,0.9382,2.3463
400000,0.0000,6.3240,0.9775,2.2894
420000,0.0000,6.1279,0.9837,2.2149
440000,0.0000,5.5978,0.8683,2.2329
460000,0.0000,5.3805,0.7330,1.8422
480000,0.0000,4.5738,0.5914,1.9294
500000,0.0000,4.3904,0.5501,1.8097
