timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.9510,2.3738,3.1382
40000,0.0000,12.1186,2.2552,2.9395
60000,0.0000,11.9674,1.6701,3.0591
80000,0.0000,11.2438,2.2090,2.9974
100000,0.0000,10.9215,1.7525,2.9213
120000,0.0000,10.9972,1.7004,2.7037
140000,0.0000,10.4469,1.9461,2.7396
160000,0.0000,10.5249,1.5910,2.6885
180000,0.0000,9.3929,1.5198,2.4997
200000,0.0000,9.0404,1.5124,2.3678
220000,0.0000,8.8314,1.2988,2.5199
240000,0.0000,8.1524,1.4313,2.4063
260000,0.0000,7.7606,1.2378,2.3043
280000,0.0000,6.5441,0.8147,2.2128
300000,0.0000,6.5092,1.2445,2.1458
320000,0.0000,6.0733,0.9262,2.0248
340000,0.0000,5.2621,0.6633,1.9838
360000,0.0000,4.6392,0.5941,1.7956
380000,0.0000,3.9459,0.3447,1.8751
400000,0.0000,3.6846,0.2946,1.6813
420000,0.0500,3.2903,0.1825,1.6722
440000,0.1000,3.1307,0.1428,1.6315
460000,0.7500,2.8535,0.1279,1.5075
480000,0.6500,2.7529,0.1130,1.5587
500000,0.7000,2.6593,0.1340,1.4965
520000,0.8000,2.5001,0.1766,1.4278
540000,0.8000,2.3709,0.1381,1.3849
560000,0.8500,2.1841,0.1882,1.4612
580000,0.8500,2.1517,0.2073,1.4189
600000,0.8500,1.9151,0.2831,1.4095
620000,0.8000,1.8829,0.3344,1.5168
640000,0.9500,1.5082,0.2685,1.3057
660000,0.7000,1.5628,0.4669,1.3994
680000,0.9000,1.1516,0.2950,1.2503
700000,0.9000,1.0519,0.2500,1.2780
720000,0.9500,0.9641,0.2956,1.1834
740000,0.8500,0.9280,0.4283,1.3276
760000,0.8500,0.8509,0.4823,1.2672
780000,1.0000,0.4731,0.0987,1.2344
800000,0.9500,0.4624,0.1404,1.1834
820000,0.8500,0.3900,0.3049,1.3541
840000,0.9500,0.3525,0.2656,1.5438
860000,0.9500,0.4296,0.1261,1.4433
880000,1.0000,0.3647,0.0765,1.4083
900000,0.9500,0.3533,0.0800,1.4259
920000,1.0000,0.2667,0.0377,1.3984
940000,1.0000,0.2753,0.0294,1.3628
960000,1.0000,0.1919,0.0162,1.3607
980000,1.0000,0.2266,0.0322,1.4314
1000000,1.0000,0.2007,0.0270,1.4289
