timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.6643,1.9516,2.9778
40000,0.0000,11.8002,2.3404,2.8339
60000,0.0000,11.6826,1.7478,3.0948
80000,0.0000,10.8672,1.9384,2.9167
100000,0.0000,10.0783,1.7374,2.8962
120000,0.0000,10.1408,1.9464,2.7931
140000,0.0000,10.1795,1.5599,2.7235
160000,0.0000,10.1149,1.3471,2.7194
180000,0.0000,9.3157,1.7656,2.6972
200000,0.0000,9.0419,1.4812,2.5783
220000,0.0000,7.8067,1.1955,2.7289
240000,0.0000,7.1041,1.2473,2.3797
260000,0.0000,6.6790,1.0370,2.2864
280000,0.0000,5.9339,0.7185,2.1525
300000,0.0000,5.8322,0.8662,2.0552
320000,0.0000,4.8658,0.5205,1.9260
340000,0.0000,4.3831,0.5643,1.9388
360000,0.0000,3.9478,0.4703,1.7697
380000,0.1500,3.1983,0.3706,1.6097
400000,0.5000,2.9362,0.2164,1.6064
420000,0.4000,2.7898,0.3474,1.5756
440000,0.6000,2.6071,0.4335,1.5464
460000,0.6000,2.3670,0.5792,1.3679
480000,0.6500,2.1429,0.4842,1.4993
500000,0.7500,2.0324,0.4448,1.3788
520000,0.8000,2.0404,0.4441,1.5661
540000,0.5500,1.7960,0.6042,1.4659
560000,0.9000,1.3789,0.5376,1.3333
580000,0.8500,1.7416,0.6414,1.3965
600000,0.9000,1.4408,0.4890,1.4618
620000,0.7500,1.5158,0.6792,1.5532
640000,0.8000,1.4330,0.7308,1.4194
660000,0.9000,1.1230,0.6824,1.4477
680000,0.8500,0.9698,0.7185,1.4627
700000,1.0000,0.5980,0.3201,1.3999
720000,0.9500,0.5744,0.3132,1.4214
740000,0.9000,0.6791,0.5280,1.4374
760000,1.0000,0.4704,0.1387,1.3134
780000,1.0000,0.4468,0.2082,1.5639
800000,0.9000,0.5744,0.6463,1.4251
820000,1.0000,0.4092,0.1195,1.4840
840000,0.9500,0.4190,0.3937,1.4320
860000,0.8000,0.5987,0.5242,1.5165
880000,1.0000,0.2767,0.0705,1.3839
900000,1.0000,0.3759,0.1436,1.5942
920000,0.9500,0.2905,0.1180,1.4314
940000,0.9000,0.4079,0.3944,1.6066
960000,0.9500,0.2043,0.1529,1.4668
980000,1.0000,0.3868,0.0963,1.5289
1000000,1.0000,0.1890,0.0449,1.6304
