timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.7147,2.3291,3.0284
40000,0.0000,10.7355,2.2206,2.9720
60000,0.0000,11.4647,2.2666,3.1430
80000,0.0000,10.5540,2.0050,2.8794
100000,0.0000,10.9107,1.7860,2.8802
120000,0.0000,10.6326,2.0991,2.8910
140000,0.0000,10.4703,1.3547,2.8354
160000,0.0000,9.9295,1.7682,2.5674
180000,0.0000,9.6677,1.6989,2.7048
200000,0.0000,8.8182,1.6830,2.7113
220000,0.0000,8.1558,1.6462,2.5590
240000,0.0000,7.6820,1.5682,2.3846
260000,0.0000,7.6078,1.1924,2.2302
280000,0.0000,6.5803,1.0872,2.2448
300000,0.0000,6.0375,1.0836,2.1482
320000,0.0000,5.7277,0.8603,2.1454
340000,0.0000,5.1034,0.4910,2.1096
360000,0.0000,4.7399,0.6691,1.9535
380000,0.0000,4.0431,0.4726,1.7492
400000,0.0000,3.7237,0.3953,1.5797
420000,0.2000,3.0876,0.1803,1.7182
440000,0.6000,2.9231,0.1316,1.4842
460000,0.7000,2.7757,0.1264,1.3544
480000,0.8500,2.5839,0.1805,1.4562
500000,0.7500,2.3893,0.1677,1.3730
520000,0.8500,2.2701,0.1409,1.3320
540000,0.7500,2.2910,0.1831,1.4999
560000,0.8500,2.0835,0.2230,1.3244
580000,0.9500,1.9162,0.2265,1.4064
600000,0.9000,1.7336,0.1487,1.3908
620000,0.9500,1.6189,0.1367,1.3942
640000,0.9500,1.4154,0.2082,1.2523
660000,0.9500,1.1931,0.2364,1.2890
680000,0.9500,0.9747,0.2240,1.3263
700000,0.9500,0.7647,0.2353,1.1931
720000,1.0000,0.5803,0.0445,1.0958
740000,1.0000,0.6014,0.0785,1.2483
760000,0.9500,0.5362,0.2526,1.2346
780000,0.9000,0.5610,0.3400,1.2766
800000,0.9500,0.5229,0.2683,1.3272
820000,0.9500,0.3977,0.2298,1.3311
840000,0.9500,0.4431,0.1968,1.2318
860000,1.0000,0.4093,0.0805,1.2979
880000,1.0000,0.4352,0.0836,1.2631
900000,1.0000,0.3231,0.0794,1.3557
920000,1.0000,0.4712,0.0825,1.3677
940000,1.0000,0.4466,0.0742,1.3667
960000,1.0000,0.3810,0.0717,1.3700
980000,1.0000,0.3168,0.0594,1.3896
1000000,1.0000,0.2883,0.0396,1.4267
