timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.8288,2.1864,3.0819
40000,0.0000,11.8631,2.2353,3.1247
60000,0.0000,12.0151,2.0876,2.9865
80000,0.0000,10.8377,1.7129,2.9784
100000,0.0000,11.0962,1.7155,2.7965
120000,0.0000,10.4930,1.7296,2.8925
140000,0.0000,10.3476,1.7282,2.7489
160000,0.0000,10.1058,1.9293,2.8977
180000,0.0000,10.0662,1.7171,2.8859
200000,0.0000,9.8439,1.8184,2.7174
220000,0.0000,9.6464,1.4298,2.8627
240000,0.0000,9.0434,1.3624,2.6126
260000,0.0000,9.0726,1.3911,2.6497
280000,0.0000,8.5462,1.2240,2.4649
300000,0.0000,8.8322,1.1094,2.4954
320000,0.0000,8.3651,1.4139,2.4269
340000,0.0000,8.2634,1.2250,2.3779
360000,0.0000,7.8486,1.0274,2.3398
380000,0.0000,6.7299,1.2000,2.3582
400000,0.0000,6.5552,1.1057,2.2765
420000,0.0000,6.0395,0.9461,2.1980
440000,0.0000,6.4342,0.8149,2.0813
460000,0.0000,5.5796,0.8171,2.0830
480000,0.0000,5.1077,0.7814,1.9482
500000,0.0000,4.6779,0.5028,1.8270
