timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.4802,1.6704,3.0922
40000,0.0000,12.3699,2.0840,3.0348
60000,0.0000,11.4810,2.0108,2.9492
80000,0.0000,11.3147,1.8646,3.0444
100000,0.0000,10.2854,1.6690,2.9370
120000,0.0000,10.7862,1.9402,2.8733
140000,0.0000,10.0879,1.6046,2.8004
160000,0.0000,9.1792,1.5391,2.6970
180000,0.0000,9.7595,1.4126,2.7253
200000,0.0000,8.5659,1.2120,2.5792
220000,0.0000,8.7885,1.0508,2.4607
240000,0.0000,7.9442,1.0192,2.4518
260000,0.0000,7.1798,1.3009,2.4619
280000,0.0000,6.6594,1.0060,2.2558
300000,0.0000,5.9318,0.8425,2.2109
320000,0.0000,5.1993,0.6978,2.0389
340000,0.0000,4.7989,0.4345,1.8576
360000,0.0000,4.4727,0.4689,1.6419
380000,0.0000,3.8449,0.3488,1.7392
400000,0.0500,3.3271,0.1945,1.6487
420000,0.4500,3.0410,0.1320,1.6038
440000,0.7000,2.8756,0.0879,1.4780
460000,0.8000,2.5896,0.1012,1.4448
480000,0.7000,2.5011,0.1137,1.4992
500000,1.0000,2.3315,0.1099,1.3260
