timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.4750,2.2506,2.9011
40000,0.0000,11.8009,1.9571,3.1520
60000,0.0000,11.8388,1.9195,3.0854
80000,0.0000,11.8359,2.1996,2.9952
100000,0.0000,11.1254,2.0650,2.6967
120000,0.0000,10.4807,1.7805,3.0012
140000,0.0000,10.1350,1.9328,2.8307
160000,0.0000,9.6798,1.9572,3.0671
180000,0.0000,9.4327,1.5882,2.8301
200000,0.0000,8.6760,1.6785,2.7133
220000,0.0000,8.8167,1.3879,2.5446
240000,0.0000,8.4475,1.5346,2.5173
260000,0.0000,7.8633,1.2785,2.5532
280000,0.0000,7.2208,1.2404,2.4623
300000,0.0000,6.4114,0.9847,2.2840
320000,0.0000,5.9440,0.9791,2.3187
340000,0.0000,5.4524,0.7394,2.0524
360000,0.0000,4.9122,0.7989,2.1232
380000,0.0000,4.1795,0.5542,2.0619
400000,0.0000,3.9815,0.3836,1.9630
420000,0.1000,3.3240,0.3213,1.7117
440000,0.2000,3.0313,0.2165,1.5916
460000,0.4500,2.7576,0.2756,1.6897
480000,0.6000,2.6050,0.3115,1.5691
500000,0.6000,2.3696,0.2638,1.5735
