timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.7812,2.1470,3.1233
40000,0.0000,12.8625,1.8505,2.9878
60000,0.0000,11.8443,1.6874,3.0114
80000,0.0000,10.9292,1.8296,2.9739
100000,0.0000,11.2020,1.9736,2.8740
120000,0.0000,11.5814,1.9327,2.8966
140000,0.0000,10.3554,2.1557,2.8526
160000,0.0000,10.2292,1.8463,2.8642
180000,0.0000,9.4414,1.1475,2.8347
200000,0.0000,8.6818,1.2430,2.6584
220000,0.0000,8.8013,1.3011,2.5192
240000,0.0000,7.8034,1.2645,2.6354
260000,0.0000,7.5099,1.1968,2.3687
280000,0.0000,6.7062,1.0720,2.3721
300000,0.0000,6.1909,1.0176,2.2619
320000,0.0000,5.3840,0.9204,2.0999
340000,0.0000,4.8021,0.6628,1.8706
360000,0.0000,4.4284,0.5380,1.8423
380000,0.0000,3.6544,0.3433,1.7216
400000,0.1500,3.3949,0.3616,1.7325
420000,0.5500,2.8596,0.1991,1.6780
440000,0.7500,2.6801,0.1569,1.4287
460000,0.8500,2.4335,0.1292,1.5535
480000,0.9500,2.2160,0.1119,1.4015
500000,0.8000,1.9393,0.1339,1.4021
