timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.4808,2.3817,3.0675
40000,0.0000,12.0943,2.1252,3.0108
60000,0.0000,12.4205,1.7606,2.8705
80000,0.0000,11.4252,2.0908,3.1131
100000,0.0000,11.2033,2.0228,2.9624
120000,0.0000,11.5868,1.6111,2.8639
140000,0.0000,11.6831,1.6985,2.7788
160000,0.0000,10.0996,1.5196,2.8038
180000,0.0000,10.0920,1.7488,2.6482
200000,0.0000,9.2601,1.9380,2.6384
220000,0.0000,9.5039,1.7441,2.5631
240000,0.0000,8.5753,1.3828,2.4993
260000,0.0000,8.6409,1.5776,2.4833
280000,0.0000,8.1478,1.3067,2.1853
300000,0.0000,7.0905,1.3809,2.2024
320000,0.0000,6.5897,1.2259,2.2622
340000,0.0000,6.5907,1.0696,2.0673
360000,0.0000,5.8054,1.0350,2.1122
380000,0.0000,5.2922,0.8296,1.8945
400000,0.0000,4.6662,0.6024,1.9083
420000,0.0000,4.1718,0.6032,1.5992
440000,0.0000,3.7455,0.4474,1.6328
460000,0.1000,3.2820,0.3257,1.6770
480000,0.1500,3.1054,0.2145,1.4973
500000,0.8000,2.8442,0.0917,1.4956
