timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.8901,1.6894,3.0463
40000,0.0000,12.0481,2.3884,3.0512
60000,0.0000,11.5866,2.1240,3.0435
80000,0.0000,12.0725,1.6147,2.8012
100000,0.0000,11.6567,1.4198,2.9170
120000,0.0000,10.0099,1.9346,3.0217
140000,0.0000,10.2740,1.4901,2.7916
160000,0.0000,10.0703,1.6524,2.7616
180000,0.0000,9.9232,1.5458,2.6157
200000,0.0000,8.9606,1.6843,2.4716
220000,0.0000,8.7055,1.3429,2.5908
240000,0.0000,8.0401,0.9661,2.5122
260000,0.0000,7.4114,1.4356,2.3623
280000,0.0000,7.2999,0.9168,2.2902
300000,0.0000,6.1483,0.8109,2.2529
320000,0.0000,5.6929,1.0124,2.2027
340000,0.0000,5.1560,0.6467,1.8812
360000,0.0000,4.9104,0.5572,1.8896
380000,0.0000,4.0020,0.3728,1.7299
400000,0.0000,3.5103,0.3412,1.7300
420000,0.3000,3.1386,0.2563,1.7807
440000,0.5000,2.9912,0.2131,1.6692
460000,0.6500,2.7290,0.1578,1.5128
480000,0.7000,2.6812,0.2288,1.5399
500000,0.7000,2.5383,0.2803,1.5334
