timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.4848,2.2632,3.1630
40000,0.0000,11.9044,2.3815,2.9259
60000,0.0000,12.1032,1.7442,2.9862
80000,0.0000,11.8984,2.1185,2.8885
100000,0.0000,10.4428,2.0744,3.0187
120000,0.0000,10.5843,1.8951,2.8501
140000,0.0000,10.0749,1.7651,2.8947
160000,0.0000,10.3818,1.6814,2.6076
180000,0.0000,9.9789,1.6489,2.7368
200000,0.0000,9.7246,1.5215,2.6963
220000,0.0000,8.8830,1.6329,2.6535
240000,0.0000,8.8172,1.5814,2.6363
260000,0.0000,8.4399,1.1768,2.5176
280000,0.0000,7.7158,1.1705,2.2921
300000,0.0000,7.8335,1.2748,2.2906
320000,0.0000,7.6417,1.1333,2.2539
340000,0.0000,6.8953,0.8879,2.2720
360000,0.0000,6.4786,1.2554,2.1445
380000,0.0000,5.9221,1.0343,2.0262
400000,0.0000,5.3473,0.7902,1.9782
420000,0.0000,4.7747,0.7971,2.0672
440000,0.0000,4.6342,0.6017,1.9381
460000,0.0000,3.8557,0.3727,1.9430
480000,0.1000,3.6105,0.4495,1.6290
500000,0.1000,3.3374,0.2762,1.5439
