timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.4143,1.9511,2.9392
40000,0.0000,12.0787,2.2583,2.9718
60000,0.0000,11.6217,2.2280,3.0769
80000,0.0000,11.7238,2.1122,3.0052
100000,0.0000,11.8172,1.3939,2.8971
120000,0.0000,11.1360,1.6335,2.7327
140000,0.0000,11.1048,1.5493,2.9135
160000,0.0000,10.5970,1.8989,2.5308
180000,0.0000,10.4281,1.8506,2.5705
200000,0.0000,9.4125,1.4356,2.5082
220000,0.0000,8.7118,1.8182,2.7816
240000,0.0000,8.1466,1.4387,2.4425
260000,0.0000,8.1427,1.3869,2.4347
280000,0.0000,7.6632,1.1638,2.1838
300000,0.0000,7.0154,1.1470,2.1567
320000,0.0000,6.2719,0.9228,1.9952
340000,0.0000,5.7006,1.0131,1.9766
360000,0.0000,5.4683,0.9365,1.9571
380000,0.0000,4.7097,0.8821,1.7900
400000,0.0000,4.0912,0.4876,1.7786
420000,0.0000,3.7720,0.4541,1.8097
440000,0.0000,3.4630,0.3503,1.5543
460000,0.3500,3.0820,0.2085,1.6285
480000,0.4000,2.8990,0.1561,1.4820
500000,0.6000,2.7096,0.1479,1.4202
520000,0.8000,2.5160,0.1194,1.2819
540000,0.6500,2.4343,0.1440,1.4213
560000,0.8500,2.2526,0.1223,1.3215
580000,0.9500,2.0818,0.0926,1.3667
600000,0.7500,2.0563,0.1959,1.2530
620000,0.9500,1.8502,0.0925,1.1767
640000,0.8000,1.8540,0.3108,1.2522
660000,0.9500,1.5902,0.1999,1.3350
680000,0.8500,1.5338,0.2727,1.2671
700000,0.8500,1.3734,0.1949,1.1427
720000,0.8500,1.3832,0.3309,1.1603
740000,0.9000,1.3199,0.5765,1.2513
760000,0.8000,1.2770,0.5314,1.1984
780000,1.0000,0.8968,0.0551,1.1692
800000,0.9500,0.8031,0.0768,1.2568
820000,0.9500,0.6489,0.2019,1.2066
840000,0.9500,0.5702,0.2810,1.2046
860000,1.0000,0.4896,0.1031,1.2073
880000,1.0000,0.3584,0.0980,1.1862
900000,1.0000,0.2992,0.0473,1.3374
920000,1.0000,0.3101,0.0512,1.3488
940000,1.0000,0.3305,0.0607,1.3393
960000,1.0000,0.4159,0.1335,1.4219
980000,1.0000,0.2511,0.0321,1.2969
1000000,1.0000,0.2584,0.0362,1.3647
