timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.5398,2.2908,2.9587
40000,0.0000,12.5275,2.0133,2.8980
60000,0.0000,12.6998,1.7677,3.0342
80000,0.0000,11.3296,2.2995,2.8390
100000,0.0000,10.8030,1.9431,2.8713
120000,0.0000,11.0319,2.0386,2.9366
140000,0.0000,10.6856,1.5519,2.6710
160000,0.0000,10.1111,1.8572,2.8624
180000,0.0000,10.2569,1.5736,2.8975
200000,0.0000,9.5595,2.0672,2.6804
220000,0.0000,9.6409,1.7752,2.6557
240000,0.0000,9.1054,1.6409,2.5748
260000,0.0000,9.1688,1.6263,2.5445
280000,0.0000,9.0740,1.7324,2.5777
300000,0.0000,8.3394,1.5981,2.4652
320000,0.0000,8.1587,1.3955,2.3648
340000,0.0000,8.1023,1.5798,2.3539
360000,0.0000,7.6800,1.4667,2.4117
380000,0.0000,7.5362,1.4946,2.3636
400000,0.0000,7.3838,1.2320,2.5067
420000,0.0000,7.3214,1.0984,2.4393
440000,0.0000,6.4677,1.2840,2.1294
460000,0.0000,6.0324,0.8118,2.1343
480000,0.0000,6.0491,1.1928,2.1067
500000,0.0000,5.4296,0.8221,1.9815
