timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,11.9922,1.9757,2.9415
40000,0.0000,11.1111,1.8881,2.9813
60000,0.0000,11.3055,1.5962,3.0915
80000,0.0000,11.4593,1.7621,2.9832
100000,0.0000,10.9513,1.5755,2.9334
120000,0.0000,9.7921,1.7089,3.0518
140000,0.0000,10.0126,1.5638,2.7670
160000,0.0000,9.3891,1.5322,2.7073
180000,0.0000,9.5363,1.2440,2.6982
200000,0.0000,9.0098,1.5589,2.6005
220000,0.0000,8.4826,1.7174,2.5186
240000,0.0000,7.5585,1.2336,2.6513
260000,0.0000,7.5465,1.2169,2.4260
280000,0.0000,7.3175,1.1817,2.4844
300000,0.0000,6.1943,1.1018,2.2744
320000,0.0000,5.8469,0.9000,2.2031
340000,0.0000,5.0790,0.9830,2.0305
360000,0.0000,4.9374,0.6643,1.9830
380000,0.0000,4.1535,0.5966,1.9054
400000,0.0000,3.9175,0.4346,1.8053
420000,0.1500,3.1364,0.2937,1.8062
440000,0.3000,3.0190,0.1981,1.7452
460000,0.5500,2.7439,0.1724,1.7013
480000,0.8000,2.5079,0.1373,1.4775
500000,0.7000,2.4261,0.1679,1.4103
