timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.3916,1.9260,3.1988
40000,0.0000,11.6532,2.1336,3.1242
60000,0.0000,12.0939,1.9154,2.8705
80000,0.0000,11.6852,1.8959,2.8727
100000,0.0000,10.1101,1.7756,2.8740
120000,0.0000,9.8768,1.6561,2.8070
140000,0.0000,9.6737,1.8167,2.7017
160000,0.0000,9.0756,1.7016,2.9997
180000,0.0000,9.9195,1.4166,2.7391
200000,0.0000,8.8481,1.5654,2.5953
220000,0.0000,8.7387,1.4665,2.5246
240000,0.0000,7.6523,1.3020,2.4970
260000,0.0000,6.3725,0.8991,2.4771
280000,0.0000,5.9468,1.1284,2.3700
300000,0.0000,5.5581,0.9386,2.2116
320000,0.0000,5.0862,0.8258,2.1476
340000,0.0000,4.5089,0.7098,1.9780
360000,0.1000,4.0875,0.6481,1.9150
380000,0.2000,3.4502,0.5275,1.7305
400000,0.1500,3.2326,0.3358,1.7682
420000,0.5500,2.9082,0.2753,1.5691
440000,0.9500,2.4857,0.2188,1.5563
460000,0.8500,2.2141,0.2562,1.6241
480000,0.9000,2.0258,0.2376,1.3923
500000,0.9000,1.6606,0.1486,1.4236
