timestep,success_rate,mean_vz,std_vz,mean_tau_error
20000,0.0000,12.1183,1.9661,3.0386
40000,0.0000,11.3260,1.9476,3.0229
60000,0.0000,11.7792,1.6823,2.9493
80000,0.0000,11.7393,2.1658,2.8984
100000,0.0000,11.1959,1.6285,2.9498
120000,0.0000,10.1963,2.0831,2.8310
140000,0.0000,10.1035,1.8855,2.8352
160000,0.0000,9.5285,1.7810,2.9052
180000,0.0000,10.4918,1.7327,2.7382
200000,0.0000,9.3871,1.6306,2.5726
220000,0.0000,8.3635,1.5189,2.7145
240000,0.0000,7.7517,1.5156,2.6411
260000,0.0000,8.2526,1.1626,2.4653
280000,0.0000,7.1478,1.3612,2.5762
300000,0.0000,6.7779,1.1388,2.3849
320000,0.0000,5.9569,1.0283,2.1982
340000,0.0000,5.7208,0.9328,2.1040
360000,0.0000,5.3074,0.7673,2.1556
380000,0.0000,4.5519,0.6985,1.9770
400000,0.0000,4.1990,0.5874,1.8407
420000,0.0500,3.5827,0.4455,1.7367
440000,0.2000,3.3197,0.3657,1.9063
460000,0.3500,2.9983,0.1454,1.7327
480000,0.8500,2.6711,0.1104,1.4856
500000,0.8500,2.3570,0.1140,1.5102
